question,answer,context
Name two combustible substances.,"Wood, petrol.","Petrol
 Petroleum gas, petrol, diesel, kerosene, paraffin wax, lubricating oil are obtained by
 PETROLEUM
 "
What happens when charcoal burns in the air ?,"Charcoal burns in air producing carbon dioxide, heat and light.","Charcoal
 "
Define ignition temperature.,The lowest temperature at which a substance catches fire is called its ignition temperature.,"The substances which burn in air are called combustible. Oxygen (in air) is essential for combustion. During the process of combustion, heat and light are given out. Ignition temperature is the lowest temperature at which a combustible substance catches fire. Inflammable substances have very low ignition temperature. Fire can be controlled by removing one or more requirements essential for producing fire. Water is commonly used to control fires. Water cannot be used to control fires involving electrical equipment or oils. There are various types of combustions such as rapid combustion, spontaneous combustion, explosion, etc. There are three different zones of a flame dark zone, luminous zone and non-luminous zone. An ideal fuel is cheap, readily available, readily combustible and easy to transport. It has high calorific value. It does not produce gases or residues that pollute the environment. Fuels differ in their efficiency and cost. Fuel efficiency is expressed in terms of its calorific value which is expressed in units of kilojoule per kg. Unburnt carbon particles in air are dangerous pollutants causing respiratory problems. Incomplete combustion of a fuel gives poisonous carbon monoxide gas. Increased percentage of carbon dioxide in air has been linked to global warming. Oxides of sulphur and nitrogen produced by the burning of coal, diesel and petrol cause acid rain which is harmful for crops, buildings and soil.
 "
Name different zones of a flame.,Three zones of a flame are :  Non-luminous zone  Luminous zone  Dark zone.,"temperature? In fact, this part of the flame is the hottest part (Fig. 6.13). outer zone of complete combustion (blue)
 hottest part moderately hot
 middle zone of partial combustion (yellow)
 middle zone of partial combustion (yellow)
 least hot
 innermost zone of unburnt wax vapours (black)
 innermost zone of unburnt wax vapours (black)
 wax candle
 Fig. 6.13 : Different zones of candle flame
 Fig. 6.13 : Different zones of candle flame
 "
What is the composition of a match-stick ?,"A mixture of antimony trisulphide, potassium chlorate and white phosphorus with some glue and starch applied on the head of the match stick.","Do these experiences tell you that different substances catch fire at different temperatures? The lowest temperature at which a substance catches fire is called its ignition temperature. Can you tell now why a matchstick does not catch fire on its own at room temperature? Why does the matchstick start burning on rubbing it on the side of the matchbox? The history of the matchstick is very old. More than five thousand years ago small pieces of pinewood dipped in sulphur were used as matches in ancient Egypt. The modern safety match was developed only about two hundred years ago. A mixture of antimony trisulphide, potassium chlorate and white phosphorus with some glue and starch was applied on the head of a match made of suitable wood. When struck against a rough surface, white phosphorus got ignited due to the heat of friction. This started the combustion of the match. However, white phosphorus proved to be dangerous both for the workers involved in the manufacturing of matches and for the users. These days the head of the safety match contains only antimony trisulphide and potassium chlorate. The rubbing surface has powdered glass and a little red phosphorus (which is much less dangerous). When the match is struck against the rubbing surface, some red phosphorus gets converted into white phosphorus. This immediately reacts with potassium chlorate in the matchstick head to produce enough heat to ignite antimony trisulphide and start the combustion.
 "
Define inflammable substances.,The substance that has very low ignition temperature and can easily catch fire with a flame is called inflammable substance.,"The substances which burn in air are called combustible. Oxygen (in air) is essential for combustion. During the process of combustion, heat and light are given out. Ignition temperature is the lowest temperature at which a combustible substance catches fire. Inflammable substances have very low ignition temperature. Fire can be controlled by removing one or more requirements essential for producing fire. Water is commonly used to control fires. Water cannot be used to control fires involving electrical equipment or oils. There are various types of combustions such as rapid combustion, spontaneous combustion, explosion, etc. There are three different zones of a flame dark zone, luminous zone and non-luminous zone. An ideal fuel is cheap, readily available, readily combustible and easy to transport. It has high calorific value. It does not produce gases or residues that pollute the environment. Fuels differ in their efficiency and cost. Fuel efficiency is expressed in terms of its calorific value which is expressed in units of kilojoule per kg. Unburnt carbon particles in air are dangerous pollutants causing respiratory problems. Incomplete combustion of a fuel gives poisonous carbon monoxide gas. Increased percentage of carbon dioxide in air has been linked to global warming. Oxides of sulphur and nitrogen produced by the burning of coal, diesel and petrol cause acid rain which is harmful for crops, buildings and soil.
 "
Who helps us when a building or an area catches fire ?,Fire brigade helps to extinguish the fire in an area or a buildings.,"FIRE EXTINGUISHER
 "
Name the types of combustion.,Types of combustion :  Rapid combustion.  Spontaneous combustion.  Explosion.,"6.3 Types of Combustion Bring a burning matchstick or a gas lighter near a gas stove in the kitchen. Turn on the knob of the gas stove. What do you observe? CAUTION : Do not handle the gas stove yourself. Ask your parents to help.
 We find that the gas burns rapidly and produces heat and light. Such combustion is known as rapid combustion. There are substances like phosphorus which burn in air at room temperature. The type of combustion in which a material suddenly bursts into flames, without the application of any apparent cause is called spontaneous combustion. 69
 We find that the gas burns rapidly and produces heat and light. Such combustion is known as rapid combustion. There are substances like phosphorus which burn in air at room temperature. The type of combustion in which a material suddenly bursts into flames, without the application of any apparent cause is called spontaneous combustion. 69
 "
What is global warming ?,The rise in temperature of the atmosphere of the Earth due to increased concentration of carbon dioxide in the air is called global warming.,"the role of carbon dioxide in plants. But if there is excess of CO2 in the air, it acts as a pollutant. Can you help Paheli find out the answer to her question? On the one hand, CO2 is continuously being released because of human activities. On the other hand, area under forests is decreasing. Plants utilise CO2 from the atmosphere for photosynthesis, thereby decreasing the amount of CO2 in the air. Deforestation leads to an increase in the amount of CO2 in the air because the number of trees which consume CO 2 is reduced. Human activities, thus, contribute to the accumulation of CO2 in the atmosphere. CO2 traps heat and does not allow it to escape into space. As a result, the average temperature of the earth’s atmosphere is gradually increasing. This is called global warming. Other gases like methane, nitrous oxide and water vapour also contribute Global Warming A Serious Threat! Global warming can cause sea levels to rise dramatically. In many places, coastal areas have already been flooded. Global warming could result in wide ranging effects on rainfall patterns, agriculture, forests, plants and animals. Majority of people living in regions which are threatened by global warming are in Asia. A recent climate change report gives us only a limited time to keep the greenhouse gases at the present level. Otherwise, the temperature may rise by more than 2 degrees Celsius by the end of the century, a level considered dangerous.
 towards this effect. Like CO2, they are also called greenhouse gases. Global warming has become a major concern for governments worldwide. Many countries have reached an agreement to reduce the emission of greenhouse gases. The Kyoto Protocol is one such agreement. Boojho is surprised to hear that an increase in the earth’s temperature by even as little as 0.5 °C can have such a serious effect! Paheli tells him that she had read in the newspapers recently that the Gangotri glacier in the Himalayas has started melting because of global warming.
 3. Combustion of most fuels releases carbon dioxide in the environment. Increased concentration of carbon dioxide in the air is believed to cause global warming. Global warming is the rise in temperature of the atmosphere of the earth. This results, among other things, in the melting of polar glaciers, which leads to a rise in the sea level, causing floods in the coastal areas. Low lying coastal areas may even be permanently submerged under water.
 "
What is calorific value ?,The amount of heat energy produced on complete combustion of 1 kg of a fuel is called its calorific value.,"6.7 Fuel Efficiency
 Fig. 6.14 : Goldsmith blowing through a metallic pipe
 Suppose you were asked to boil a given quantity of water using cow dung, coal and LPG as fuel. Which fuel would you prefer? Give your reason. You may take the help of your parents. Do these three fuels produce the same amount of heat? The amount of heat energy produced on complete combustion of 1 kg of a fuel is called its calorific value. The calorific value of a fuel is expressed in a unit
 Suppose you were asked to boil a given quantity of water using cow dung, coal and LPG as fuel. Which fuel would you prefer? Give your reason. You may take the help of your parents. Do these three fuels produce the same amount of heat? The amount of heat energy produced on complete combustion of 1 kg of a fuel is called its calorific value. The calorific value of a fuel is expressed in a unit
 called kilojoule per kg (kJ/kg). Calorific values of some fuels are given in Table 6.4. Table 6.4 : Calorific Values of different Fuels Fuel Cow dung cake Wood Coal Petrol Kerosene Diesel Methane CNG LPG Biogas Hydrogen
 Calorific Value (kJ/kg) 6000-8000 17000-22000 25000-33000 45000 45000 45000 50000 50000 55000 35000-40000 150000
 "
How is carbon monoxide gas formed ?,Incomplete combustion of any fuel is responsible for the formation of carbon monoxide gas.,"particles. These fine particles are dangerous pollutants causing respiratory diseases, such as asthma. 2. Incomplete combustion of these fuels gives carbon monoxide gas. It is a very poisonous gas. It is dangerous to burn coal in a closed room. The carbon monoxide gas produced can kill persons sleeping in that room. Oh! So, that is why we are advised never to sleep in a room with burning or smouldering coal fire in it.
 "
What is fermentation ?,The process of conversion of sugar into alcohol is known as fermentation.,"The process of conversion of sugar into alcohol is called (i) nitrogen fixation (ii) moulding (iii) fermentation (iv) infection
 "
Identify the organism given below. Where does it reproduce ?,Virus. It reproduces in the host cell.,"Viruses are quite different from other microorganisms. They reproduce only inside the host organism: bacterium, plant or ani-
 "
Name two commonly known antibiotics.,"Streptomycin, tetracycline.","(ii) Streptomycin
 "
Which microorganisms are able to fix nitrogen from the atmosphere ?,Some bacteria and blue-green algae are able to fix nitrogen from the atmosphere.,"Some bacteria present in the soil fix nitrogen from the atmosphere and convert into nitrogenous compounds.
 Ü
 Certain bacteria convert compounds of nitrogen present in the soil into nitrogen gas which is released to the atmosphere.
 "
What are pathogens ?,Disease-causing micro-organisms are called pathogens.,"microorganisms are called pathogens. Some microorganisms spoil food, clothing and leather. Let us study more about their harmful activities. Disease causing Microorganisms in Humans Pathogens enter our body through the air we breathe, the water we drink or the food we eat. They can also get transmitted by direct contact with an infected person or carried by an animal. Microbial diseases that can spread from an infected person to a healthy person through air, water, food or physical contact are called communicable diseases. Examples of such diseases include cholera, common cold, chicken pox and tuberculosis. When a person suffering from common cold sneezes, fine droplets of moisture carrying thousands of viruses are spread in the air. The virus may enter the body of a healthy person while breathing and cause infection.
 "
Name the carrier insect that carries the parasite of malaria.,Female Anopheles mosquito carries the parasite of malaria.,"Fig. 2.8 : Female Anopheles mosquito
 Malaria
 Protozoa
 Mosquito
 "
How we can prevent mosquitoes from breeding ?,"All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flowerpots etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding.","Why does the teacher keep telling us not to let water collect anywhere in the neighbourhood?
 All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flower pot, etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding. Try to make a list of measures which help to avoid the spread of malaria. 23
 All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flower pot, etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding. Try to make a list of measures which help to avoid the spread of malaria. 23
 "
How sugar preserves the food substance ?,Sugar reduces the moisture content in food which inhibits the growth of bacteria to spoil food.,"Similarly, we keep our food in the refrigerator. Low temperature inhibits the growth of microbes.
 "
Why are dry fruits and vegetables sold in sealed air packets these days ?,These days dry fruits and even vegetables are sold in sealed air tight packets to prevent the attack of microbes.,"Similarly, we keep our food in the refrigerator. Low temperature inhibits the growth of microbes.
 "
How animals get proteins and other nitrogen compounds ?,Animals feeding on plants get proteins and other nitrogen compounds.,"nitrogen cannot be taken directly by plants and animals. Certain bacteria and blue green algae present in the soil fix nitrogen from the atmosphere and convert it into compounds of nitrogen. Once nitrogen is converted into these usable compounds, it can be utilised by plants from the soil through their root system. Nitrogen is then used for the synthesis of plant proteins and other compounds. Animals feeding on plants get these proteins and other nitrogen compounds (Fig. 2.10). When plants and animals die, bacteria and fungi present in the soil convert the nitrogenous wastes into nitrogenous compounds to be used by plants again. Certain other bacteria convert some part of them to nitrogen gas which goes back into the atmosphere. As a result, the percentage of nitrogen in the atmosphere remains more or less constant.
 "
What name is given to the period between childhood and adulthood ?,Adolescence.,"adolescence.
 123
 REACHING THE AGE OF ADOLESCENCE
 "
What is puberty ?,The human body undergoes several changes during adolescence. These changes mark the onset of puberty.,"Growing up is a natural process. The period of life, when the body undergoes changes, leading to reproductive maturity, is called adolescence. Adolescence begins around the age of 11 and lasts upto 18 or 19 years of age. Since this period covers the ‘teens’ (13 to 18 or 19 years of age), adolescents are also called ‘teenagers’. In girls, adolescence may begin a year or two earlier than in boys. Also, the period of adolescence varies from person to person. The human body undergoes several changes during adolescence. These changes mark the onset of puberty. The most important change which marks puberty is that boys and girls become capable of reproduction. Puberty ends when an adolescent reaches reproductive maturity.
 "
When does puberty end ?,Puberty ends when an adolescent reaches reproductive maturity.,"Paheli and Boojho have now understood that puberty marks the beginning of the reproductive period when one becomes capable of reproduction. But they want to know if reproductive life, once begun, continues, or it ends some time. 117
 "
Write two changes which occur during puberty., Increase in height  Change in body shape.,"Change in Body Shape
 "
Why during adolescence voice of some boys becomes hoarse ?,Because boys develop large voice boxes. It can be seen as a protruding part of the throat called Adam’s apple.,"Protruding voice box in boys
 "
Write a myth regarding body changes in adolescence.,A girl gets pregnant if she looks at boys during menstruation.,"cleanliness is not maintained there are chances of catching bacterial infection. Girls should take special care of cleanliness during the time of menstrual flow. They should keep track of their menstrual cycle and be prepared for the onset of menstruation. Use sanitary napkin or clean homemade pads. Change pads after every 4–5 hours as per the requirement. Physical exercise Walking and playing in fresh air keeps the body fit and healthy. All young boys and girls should take walks, exercise and play outdoor games. Myths, Taboos, Do’s and Don’ts You have learnt here and from Chapter 9 the scientific facts related to human reproduction. There are many wrong notions which you should now be able to discard as informed adolescents. For example, there are myths and taboos regarding bodily changes that adolescents experience. Some of these are given below and you can now argue why these are myths and not facts. 1. A girl becomes pregnant if she looks at boys during menstruation. 2. The mother is responsible for the sex of her child. 3. A girl should not be allowed to work in the kitchen during menstruation. You may come across many other myths and taboos. Discard them.
 "
What is the legal age of boy and girl for marriage ?,Marriage age for boys is 21 years while that of girls is 18 years.,"Adolescent Pregnancy You might be knowing that in our country, the legal age for marriage is 18 years for girls and 21 years for boys. This is because teenage mothers are not prepared mentally or physically for motherhood. Early marriage and motherhood cause health problems in the mother and the child. It also curtails employment opportunities for the young woman and may cause mental agony as she is not ready for responsibilities of motherhood. 122
 "
Name a dangerous viral disease.,AIDS by virus HIV.,"Virus
 "
Why we should say ‘No’ to Drugs ?,They ruin health and happiness both.,"HEALTH
 "
Name two destructive phenomenon.,"Lightning, earthquake.","What Causes an Earthquake?
 My grandmother told me that the earth is balanced on the horn of a bull and when the bull shifts it to the other horn, an earthquake takes place. How could it be true?
 Earthquake
 "
What are two types of charges ?,"Positive charge, negative charge.","NEGATIVE CHARGE POSITIVE CHARGE
 There are two kinds of charges — positive charge and negative charge
 "
What is lightning ?,Lightning is an electric spark on a huge scale.,"LIGHTNING LIGHTNING
 "
What is amber ? what happens when amber is rubbed with fur ?,Amber is a kind of resin. It attracts light objects when rubbed with fur.,"Fig.11.11 : A straw rubbed with paper attracts another straw but repels it if it has also been rubbed with a sheet of paper
 "
What is static electricity ?,The electricity generated by rubbing is called static electricity.,"The electrical charges produced by rubbing are called static charges.
 "
Who discovered the static electricity or lightning in clouds ?,Benjamin Franklin in 1752.,"136
 "
What are charged objects ?,The objects that acquire small charges on rubbing are called charged objects.,"Some objects can be charged by rubbing with
 "
What is an electric current ?,When charges move then the electricity is called electric current.,"The electrical charges produced by rubbing are called static charges.
 Ü
 When charges move, they constitute an electric current.
 When charges move, they constitute an electric current.
 "
What are the safe places during thunderstorm ?,The covered vehicles and buildings are safe during thunderstorm.,"15.6 Lightning Safety During lightning and thunderstorm no open place is safe. l Hearing thunder is an alert to rush to a safer place. l After hearing the last thunder, wait for some time before coming out of the safe place. Finding a Safe Place A house or a building is a safe place. If you are travelling by car or by bus, you are safe inside with windows and doors of the vehicle shut. Do’s and Don’ts during a Thunderstorm Outside Open vehicles, like motorbikes, tractors, construction machinery, open cars are not safe. Open fields, tall trees, shelters in parks, elevated places do not protect us from lightning strokes. Carrying an umbrella is not at all a good idea during thunderstorms. If in a forest, take shelter under shorter trees. If no shelter is available and you are in an open field, stay far away from all trees. Stay away from poles or other
 Fig. 15.6 : Safe position during lightning
 Fig. 15.6 : Safe position during lightning
 Inside the house Lightning can strike telephone cords, electrical wires and metal pipes (Do you remember, lightning is an electrical discharge?). During a thunderstorm contact with these should be avoided. It is safer to use mobile phones and cordless phones. However, it is not wise to call up a person who is receiving your phone through a wired phone. Bathing should be avoided during thunderstorms to avoid contact with running water. Electrical appliances like computers, TVs, etc., should be unplugged. Electrical lights can remain on. They do not cause any harm. 189
 "
Name the device used to save multi- storeyed building from lightning.,Lighting conductor.,"CONDUCTOR
 "
What are other natural phenomenon caused by earthquake ?,"Earthquake can cause floods, landslides, tsunami and epidemic.","crust. Earthquakes occur all the time, all over the earth. They are not even noticed. Major earthquakes are much less frequent. They can cause immense damage to buildings, bridges, dams and people. There can be a great loss to life and property. Earthquakes can cause floods, landslides and tsunamis. A major tsunami occurred in the Indian Ocean on 26 December 2004. All the coastal areas around the ocean suffered huge losses.
 "
Name the instrument used to measure earthquake.,Richter scale.,"RICHTER SCALE
 "
We were imaging a time when clean air and water may no longer be available. Why ?,Due to environmental pollution.,"pollution concerns.
 "
Write the composition of air by volume.,"78% is nitrogen and about 21% of oxygen, 0.9% argon, 0.3% CO2, rest other gases. 1","You already know that air consists of a mixture of gases. By volume, about 78% of this mixture is nitrogen and about 21% is oxygen. Carbon dioxide, argon, methane, ozone and water vapour are also present in very small quantities.
 "
What are air pollutants ?,The substances that contaminate the air are called air pollutants.,"AIR POLLUTION
 Ü
 Air pollution is the contamination of air by
 Pollutants are the substances which contaminate air and water.
 "
How are vehicles responsible for air pollution ?,"Vehicles produce high level of pollutants such as carbon monoxide, carbon dioxide, nitrogen oxide and smoke.","Fig. 18.3 : Air pollution due to automobiles
 POLLUTANTS
 major pollutants of air. Ü
 "
What is smog ?,"A thick fog like layer in the atmosphere especially during winters, which is made of smoke and fog is called smog.","One of your observations in the above activity could be the differences in the amount of smoke in the atmosphere. Do you know where the smoke could have come from? Addition of such substances to the atmosphere modifies it. When air is contaminated by unwanted substances which have a harmful effect on both the living and the non-living, it is referred to as air pollution.
 18.2 How does Air Get Polluted? The substances which contaminate the air are called air pollutants. Sometimes, such substances may come from natural sources like smoke and dust arising from forest fires or volcanic eruptions. Pollutants are also added to the atmosphere by certain human activities. The sources of air pollutants are factories (Fig. 18.2), power plants, automobile exhausts and burning of firewood and dung cakes.
 AIR POLLUTION
 Ü
 Air pollution is the contamination of air by
 "
What steps are taken by this Supreme Court to save Taj Mahal ?,It has ordered industries to switch to cleaner fuels like CNG & LPG. The automobiles should switch over to unleaded petrol in Taj zone.,"ordered industries to switch to cleaner fuels like CNG (Compressed Natural Gas) and LPG (Liquefied Petroleum Gas). Moreover, the automobiles should switch over to unleaded petrol in the Taj zone. Discuss with your elders and see what they have to say about the condition of the Taj, 20 or 30 years ago! Try to procure a picture of the Taj Mahal for your scrap book.
 "
Define greenhouse effect.,The trapping of radiations from sun rays by earth’s atmosphere is called greenhouse effect.,"and a part is reflected back into space. A part of the reflected radiation is trapped by the atmosphere. The trapped radiations further warm the earth. If you have seen a greenhouse in a nursery or elsewhere, recall that the sun’s heat is allowed to get in but is not allowed to go out. The trapped heat warms the green house. The trapping of radiations by the earth’s atmosphere is similar. That is why it is called the greenhouse effect. Without this process, life would not have been possible on the earth. But now it threatens life. Excess of CO2 in the air is one of the gases responsible for this effect. You know that CO2 is one of the components of air. You have also studied
 18.4 Greenhouse Effect You know that the sun’s rays warm the earth’s surface. A part of the radiation that falls on the earth is absorbed by it 242
 18.4 Greenhouse Effect You know that the sun’s rays warm the earth’s surface. A part of the radiation that falls on the earth is absorbed by it 242
 But how does CO2 content rise in the atmosphere and become excessive? SCIENCE
 "
What is Kyoto Protocol ?,Kyoto Protocol is an agreement to reduce the emission of green house gases.,"towards this effect. Like CO2, they are also called greenhouse gases. Global warming has become a major concern for governments worldwide. Many countries have reached an agreement to reduce the emission of greenhouse gases. The Kyoto Protocol is one such agreement. Boojho is surprised to hear that an increase in the earth’s temperature by even as little as 0.5 °C can have such a serious effect! Paheli tells him that she had read in the newspapers recently that the Gangotri glacier in the Himalayas has started melting because of global warming.
 "
Name few alternative fuels to reduce pollution.,CNG & LPG.,"What are the advantages of using CNG and LPG as fuels?
 "
Define potable water.,Water that is suitable for drinking.,"Water which is purified and fit for drinking is known as potable water.
 "
What is chlorination ?,Chlorination is a commonly used chemical method for purifying water.,"water. Boiling kills the germs present in the water. l Chlorination is a commonly used chemical method for purifying water. It is done by adding chlorine tablets or bleaching powder to the water. We must be cautious. We should not use more chlorine tablets than specified.
 Various constituents of petroleum and their uses are given in Table 5.1. Many useful substances are obtained from petroleum and natural gas. These are termed as ‘Petrochemicals’. These are used in the manufacture of detergents, fibres (polyester, nylon, acrylic etc.), polythene and other man-made plastics. Hydrogen gas obtained from natural gas, is used in the production of fertilisers (urea). Due to its great commercial importance, petroleum is also called ‘black gold’.
 5.3 Natural Gas Fig. 5.5: A petroleum refinery
 separating the various constituents/ fractions of petroleum is known as refining. It is carried out in a petroleum refinery (Fig. 5.5).
 "
Who organized ‘Say no to cracker campaign’?,Children from many school organized ‘‘Say no to cracker’’ to reduce air pollution during Diwali.,"Do you know about the “Say no to crackers” campaign which was organised by children from many schools? This made a big difference to the air pollution levels around Diwali.
 "
